brand_name,version_or_model_number,catalog_number,di,issuing_agency,product_codes,device_description,commercial_distribution_status,is_single_use,publish_date,company_name
Stat Profile,CCX,40723,00385480407236,GS1,GHS; JIX; JPI; KHP; GKR; JJS; JPK; CGA; JGS; CGZ; CHL; JKS; CFA; CEM; CGL; JFP; CDS,STAT PROFILE CRITICAL CARE EXPRESS CAPILLARY TUBE 150 uL WITH Na HEPARIN,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,4/12,125,10385480001257,GS1,JFL,NOVA 4/12 TCO2 MEMBRANE KIT,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,16,17509,00385480175098,GS1,JGS,NOVA 16 SODIUM SENSOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME CSS,53656,00385480536561,GS1,CGZ; CGA; CHL; GKF; JJS; JFP; JGS; CEM; KHP; JIX,Prime CCS w/ Scanner Analyzer,In Commercial Distribution,false,2017-07-06,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS L,34081,10385480340813,GS1,GJS; KHP; JKS; JPK; CEM; JPI; CGZ; GKR; JIX; CHL; JFP,Stat Profile pHOx Plus L Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57838,00385480578387,GS1,CHL,Stat Profile Prime Plus Auto QC Cartridge 160 Sample,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
Nova,1,13211,10385480132111,GS1,JGS; CEM; JPI,NOVA 1/1+ Analyzer w/ Printer (No Acc Pack),In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX CO-OX,35150,00385480351508,GS1,JIX,STAT PROFILE CCX CO-OX CALIBRATOR CARTRIDGE,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57839,00385480578394,GS1,CHL,Stat Profile Prime Plus Auto QC Cartridge 320 Sample,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX CO OX,37555,10385480375556,GS1,JPI; JKS; CIG; CGA; JFP; JIX; JGS; CGL; CHL; JPK; CFA; CDS; CGZ; JJS; GKR; CEM; JJY; GHS; JIT; KHP,Remanufactured Stat Profile Critical Care Xpress CO-Oximeter Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX,36251,00385480362511,GS1,JIX,STAT PROFILE CCX CALIBRATOR CARTRIDGE 2,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA MAX,GLU,43446,00385480434461,GS1,JJX,Nova Max Glucose Normal Glucose Control Solution,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME ABG,53108,00385480531085,GS1,JJY,Prime Auto QC Cartridge ABG 300 Sample,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME ABG,53359,00385480533591,GS1,JIX,Prime Calibrator Cartridge ABG 300 Sample,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Nova Primary,Nova Primary Analyzer,63457,10385480634578,GS1,CGA,Nova Primary Glucose Analyzer,In Commercial Distribution,false,2023-02-08,NOVA BIOMEDICAL CORPORATION
NOVA,16,17518,00385480175180,GS1,JJC; CGZ; JPI; CGL; CGA; JIX; JPK; JFL; CDS; CEM,NOVA 16 SENSOR MIXER,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX/BASIC,23933,00385480239332,GS1,JJY,"STAT PROFILE PHOX/BASIC CONTROLS AUTO-CARTRIDGE,330",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,phox Ultra/CCX,48593,00385480485937,GS1,JGS; CHL,Stat Profile pHOx Ultra/CCX Na/pH Sensor Blank,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,16,17452,00385480174527,GS1,JJY,"NOVA 16 CONTROL 1,2,Na+,K+,Cl-,TCO2,GLU,CREAT,BUN,Li+",In Commercial Distribution,true,2017-06-26,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,phox Ultra/CCX,48582,00385480485821,GS1,CEM,Stat Profile Ultra/CCX Potassium Sensor,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX BASIC,35540,10385480355404,GS1,JIX; JPK; CHL,Remanufactured Stat Profile Phox Basic Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,A,25217,00385480252171,GS1,JJY,Linearity Standard Set A,In Commercial Distribution,true,2016-09-19,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX plus/L/C,28954,00385480289542,GS1,CGZ; JKS; CEM; JFP; JPI; JGS; CGA; CHL; GKR,STAT PROFILE pHOx PLUS/L/C REFERENCE SENSOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
Nova Primary,Nova Primary Linearity Level 1,63165,00385480631655,GS1,CGA,Nova Primary Linearity Level 1,In Commercial Distribution,true,2023-02-24,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,ULTRA/CCX,48556,10385480485569,GS1,CFA,Stat Profile pHOx Ultra/CCX Ionized Magnesium Sensor,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,58642,10385480586426,GS1,CHL,Stat Profile Prime Plus MicroSensor Card™,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
NOVA,16,17364,00385480173643,GS1,CEM,NOVA 16 POTASSIUM SENSOR,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
