brand_name,version_or_model_number,catalog_number,di,issuing_agency,product_codes,device_description,commercial_distribution_status,is_single_use,publish_date,company_name
NOVA,1/5/11,13141,00385480131414,GS1,JPI; CGZ; JGS; NDW; CEM,NOVA 1/5/11 S LINE,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME ABG,53107,00385480531078,GS1,JJY,Prime Auto QC Cartridge ABG 200 Sample,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,61605,10385480616055,GS1,GGZ; JGS; CGA; CHL,Stat Profile Prime Plus MicroSensor Card™ with COOX 100,In Commercial Distribution,false,2022-06-16,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Plus,62227,00385480622271,GS1,CHL,Prime Calibrator Cartridge ES Plus 300 Sample,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
STATSTRIP,Lactate,47552,00385480475525,GS1,JJY,"Nova StatStrip LAC Linearity, Level 1, Level 2, Level 3, Level 4",In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Plus,62229,00385480622295,GS1,CHL,Prime Calibrator Cartridge ES Plus 500 Sample,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48831,00385480488310,GS1,JIX,Stat Profile pHOx Ultra/CCX Calibrator Cartride 4,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Plus,62638,10385480626382,GS1,CHL,Remanufactured Prime ES Plus w/ Tray & Scanner,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
StatSensor/StatStrip,1.0,51995,10385480519950,GS1,CGA; KHP; CGL,Statsensor Statstrip Docking Station 2 position,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Comp Plus,61454,10385480614549,GS1,CHL,Prime Sensor Card ES Comp Plus,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
NOVA,4/5/12/13/14,14062,10385480140628,GS1,CGZ,NOVA 4/5/12/13/14 CHLORIDE SENSOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,1/5/10/11/13,13984,00385480139847,GS1,NDW; CGZ; JPI; JGS; CEM; JFP,NOVA 1/5/10/11/13 MICROSAMPLE STANDARD,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Nova Max,Plus,43604,10385480436042,GS1,NBW,Nova Max 10 Glucose Test Strips,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,phox Ultra/CCX Co-Ox,48560,00385480485609,GS1,JIX,Stat Profile pHOx Ultra/Critical Care Xpress CO-Oximeter Calibrator Cartridge,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,phox ultra/ccx,49184,00385480491846,GS1,JJY,"Stat Profile pHOx Ultra/CCX Control Chemistry L4, 5 (amps)",In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
NOVA,4/10/12,16501,00385480165013,GS1,JFP; CGA; CDS; NDW; JFL; CEM; JGS; CGZ,NOVA 4/10/12 AIR DETECTOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
Nova,1,6856,00385480068567,GS1,CHL; JGS,NOVA Na/pH CONDITIONING SOLUTION,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS L,33871,00385480338714,GS1,CGA,STAT PROFILE pHOx PLUS L GLUCOSE MEMBRANE KIT: REFRIGERATE,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,phox Ultra/CCX,48595,00385480485951,GS1,CGL,Stat Profile pHOx Ultra/CCX Creatinine Sensor,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX,34655,00385480346559,GS1,JPK; JKS; CHL; GKR; JIX; JPI,"STAT PROFILE pHOx REFERENCE TUBING REPLACEMENT, INTERNAL",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Comp Plus,62642,10385480626429,GS1,CHL,ES Comp Plus w/ Scanner,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
Nova Max,Plus,45824,10385480458242,GS1,NBW; JJX; JIN; CGA,Nova Max Plus Blood Glucose Monitoring System,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX,36259,00385480362597,GS1,JPI; JJS; JFP; CFA; GHS; KHP; CEM; CDS; CGA; JKS; CGZ; CHL; JGS; JIX; CGL; JPK; GKR,STAT PROFILE CCX S LINE REPLACEMENT,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Nova,Nova,38883,00385489388833,GS1,LXG,Syringe Clot Catcher,In Commercial Distribution,true,2022-12-07,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PLUS/L/C,27812,10385480278123,GS1,CGZ,STAT PROFILE pHOx PLUS/L/C CHLORIDE SENSOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Plus,62343,10385480623435,GS1,CHL,Prime ES Plus W/ Tray & Scanner,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX CO-OX,42795,00385480427951,GS1,CIG; JIT; JJY,"D,E, LINE REPLACEMENT TUBING TITANIUM TI STP CCX COOX",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48833,00385480488334,GS1,JIX,Stat Profile pHOx Ultra/CCX Calibrator Cartride 2,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,10,14618,00385480146180,GS1,JFP; NDW; CGZ; JGS; CEM,NOVA 10 TUBING HARNESS WITH DILUTOR,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME CCS,53467,00385480534673,GS1,JIX,Prime Calibrator Cartridge CCS 500 Sample,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,phox ultra/ccx,49187,00385480491877,GS1,JJY,"Stat Profile pHOx Ultra/CCX Control CO-Ox Tri Level L7, 8 ,9 (amps)",In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
NOVA,12/14,8796,10385480087961,GS1,CDS,NOVA 12/14 BUN MEMBRANE KIT,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX CO-OX,36455,00385480364553,GS1,JFP; JGS; CDS; CGZ; GHS; CFA; JPK; JPI; CGL; JJS; KHP; CGA; JKS; CHL; CEM; JIX; GKR,CO-OX TUBING ASSY STP CCX,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME CCS,52863,00385480528634,GS1,JIX,Prime Calibrator Cartridge CCS 300 Sample,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Nova Primary,Nova Primary Calibrator Cartridge 150 Sample,63167,00385480631679,GS1,CGA,Nova Primary Calibrator Cartridge 150 Sample,In Commercial Distribution,false,2023-02-09,NOVA BIOMEDICAL CORPORATION
NOVA,STATSTRIP LAC,47554,00385480475549,GS1,JJX,"Nova StatStrip LAC Control, Level 2",In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX,37168,00385480371681,GS1,JIX,STAT PROFILE CCX CALIBRATOR CARTRIDGE 4 WITH CREATININE,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STATSTRIP,1.75,53398,00385480533980,GS1,PZI,Statstrip Glucose Meter with Battery and Quick Reference Guide,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX,28000,00385480280006,GS1,GLY,STAT PROFILE pHOx CO-OXIMETER SAMPLE LINE ASSEMBLY,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,pHOx Ultra/CCX,48566,00385480485661,GS1,JJB; JGS; CGL; GHS; GLY; CGA; JFP; CDS; BXX; GGZ; GJC; CEM; CGZ; CFA; NGD; CHL; JIX; GKK,Stat Profile pHOx Ultra/CCX Preheater Assembly,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME,52582,00385480525824,GS1,CHL; JIX; CEM; KHP; CGZ; JGS; CGA; JFP; GKF; JJS,Prime Probe S Line 100 ul,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME ABG,53665,00385480536653,GS1,CHL; JJS; JJX,Remanufactured Prime ABG w/ Scanner Analyzer,In Commercial Distribution,false,2017-07-06,NOVA BIOMEDICAL CORPORATION
NOVA,12/14/16,13142,00385480131421,GS1,CGL; CGZ; CEM; CGA; JGS; JFL; CDS; JPI,NOVA 12/14/16 S LINE,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
StatStrip/StatSensor,1.0,50436,00385480504362,GS1,CGA,"Statstrip StatSensor Replacement Battery, 5 pack",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Nova,SUREFLEX,49960,10385480499603,GS1,NBW,Nova Sureflex Lancing Device,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Comp Plus,62644,10385480626443,GS1,CHL,Remanufactured Prime ES Comp Plus w/ Tray,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48922,00385480489225,GS1,JJY,Stat Profile pHOx Ultra/CCX CO-Oximeter Controls Auto-Cartridge 9/Day,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,64604,10385480646045,GS1,CGA; JGS; GGZ; CHL,Stat Profile Prime Plus MicroSensor Card™ 100,In Commercial Distribution,false,2022-06-06,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57832,00385480578325,GS1,CHL,Stat Profile Prime Plus Calibrator Cartridge 200 Sample with Creat / BUN,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
NOVA,Co-Ox,18100,00385480181006,GS1,JJY,Nova CO-Oximeter Calibrator tHb Control,In Commercial Distribution,true,2016-09-24,NOVA BIOMEDICAL CORPORATION
Nova,Nova,38846,00385489388468,GS1,LXG,Nova Biomedical® Capillary Tube Clot Catcher,In Commercial Distribution,true,2022-12-07,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,phox Ultra/CCX,48558,00385480485586,GS1,JGS; GGZ; CEM; CGA; CHL; GHS; CGL; JFP; BXX; GLY; CDS; JJB; GJC; CGZ; CFA; JIX; GKK,Stat Profile pHOx Ultra/CCX Sensor Blank,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,1,23131,00385480231312,GS1,CHL,PO2 INTERNAL FILLING SOLUTION,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS L,34717,10385480347171,GS1,GJS; CEM; JFP; CGZ; JPK; GKR; JIX; CHL; KHP; JPI; JKS,Remanufactured Stat Profile pHOx Plus L Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,16,21588,10385480215883,GS1,JFL,NOVA 16 TCO2 MEMBRANE CAPS,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX/BASIC,23936,00385480239363,GS1,JIX,STAT PROFILE PHOX/BASIC CALIBRATOR CARTRIDGE C,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,phox ultra/ccx,48935,00385480489355,GS1,JJY,"Stat Profile pHOx Ultra/CCX Blood Gas Controls Multipack L1, 2, 3 (Amps)",In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Comp Plus,62351,10385480623510,GS1,CHL,Prime ES Comp Plus W/ Scanner,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Plus,62338,10385480623381,GS1,CHL,Prime ES Plus,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
Stat Profile,CCX,36786,00385480367868,GS1,JJS; CGL; CFA; JPI; KHP; JGS; JPK; JFP; GKR; CDS; CEM; CGZ; JKS; CHL; GHS; JIX; CGA,STAT PROFILE CRITICAL CARE XPRESS FLUSH FIXTURE,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,ULTRA/CCX,48579,00385480485791,GS1,JGS,Stat Profile pHOx Ultra/CCX Sodium Sensor,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57454,00385480574549,GS1,GGZ; JGS; CHL; CGA,Control Flush Fixture,In Commercial Distribution,false,2022-12-08,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME CCS COMP,53657,00385480536578,GS1,JJS; CEM; JFP; CHL; KHP; JIX; JGS; CGZ; CGA; GKF,Prime CCS Comp w/ Scanner Analyzer,In Commercial Distribution,false,2017-07-06,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA W/R,48561,00385480485616,GS1,GJC; GGZ; GKK; CGA; GLY; CDS; CGZ; NGD; CGL; GHS; CFA; CHL; BXX; JIX; CEM; JFP; JJB; JGS,STAT PROFILE PHOX ULTRA W/R TUBING HARNESS,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57845,00385480578455,GS1,CHL,"Stat Profile Prime Plus Ampuled Controls Chemistry Levels 4,5",In Commercial Distribution,true,2018-11-09,NOVA BIOMEDICAL CORPORATION
Stat Profile,pHOx Plus C,37343,00385480373432,GS1,JPK; CGA; JIX; CGZ; JPI; JGS; CEM; CHL; GKR; JEP; JKS,STAT PROFILE pHOx PLUS C SENSOR MODULE,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,M/2/3,23123,00385480231237,GS1,CHL,STAT PROFILE M/2/3 PCO2 FILLING SOLUTION,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
StatSensor/StatStrip,1.0,51996,10385480519967,GS1,CGL; KHP; CGA,Statsensor Statstrip Docking Station 4 position,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime,64251,10385480642511,GS1,CHL,Prime Sensor Card CCS Comp 100,In Commercial Distribution,false,2022-06-06,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME ABG,52855,00385480528559,GS1,JJX; JJS; CHL,Prime ABG w/ Scanner Analyzer,In Commercial Distribution,false,2017-07-06,NOVA BIOMEDICAL CORPORATION
NOVA,16,17511,00385480175111,GS1,CDS,NOVA 16 BUN SENSOR,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
NOVA,4/12/2016,13194,00385480131940,GS1,JIX; JFP; CDS; JGS; JJY; CEM; NDW; JFL; CGZ; CGA,NOVA 4/12 W/R/H PUMP TUBING,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Nova,Nova,63412,00385480634120,GS1,LXG,Sample Cups: 0.5 ml x 1000,In Commercial Distribution,true,2022-12-07,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57842,00385480578424,GS1,CHL,Stat Profile Prime Plus Auto QC Cartridge 210 Sample with Creat / BUN,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES,53110,00385480531108,GS1,CHL,Prime Ampuled Control ES,In Commercial Distribution,true,2020-02-03,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Plus,62230,00385480622301,GS1,CHL,Prime Calibrator Cartridge ES Plus 600 Sample,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
Nova,1,99,00385480000994,GS1,CGZ,Cl- INTERNAL FILLING SOLUTION,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,1,11802,00385480118026,GS1,JIX; CDS; CHL; CGZ; JGS; JFP; JKS; JPI; KHP; JJY; CFA; CEM,STAT PROFILE PREHEATER CLEANING AGENT,In Commercial Distribution,false,2016-09-22,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,phox/basic,22763,00385480227636,GS1,JJY,"STAT PROFILE pHOx/BASIC CONTROL 1,2,3",In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57834,00385480578349,GS1,CHL,Stat Profile Prime Plus Calibrator Cartridge 400 Sample with Creat / BUN,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX,25055,00385480250559,GS1,GLY,STAT PROFILE pHOx CO-OXIMETER REAGENT CARTRIDGE,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,10,13198,00385480131988,GS1,NDW; CGZ; JGS; JFP; CEM,NOVA 10 W/R PUMP TUBE WITHOUT DILUTOR,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA S,48568,00385480485685,GS1,CGZ; GHS; BXX; NGD; CHL; JJB; JIX; GGZ; CGL; CGA; CFA; GLY; JFP; CDS; GKK; JGS; CEM; GJC,STAT PROFILE PHOX ULTRA S LINE REPLACEMENT,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,4/10,14178,00385480141789,GS1,JFL; CEM; JGS; JFP; NDW; CGZ,NOVA 4/10 S LINE,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48835,00385480488358,GS1,JIX,Stat Profile pHOx Ultra/CCX Calibrator Cartride 4 With Creatinine,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,1,6554,00385480065542,GS1,CHL,PO2 INTERNAL FILLING SOLUTION,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
NOVA,10,15279,10385480152799,GS1,JFP,NOVA 10 TOTAL CALCIUM SENSOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX/BASIC/BIOPHOX,49847,00385480498470,GS1,JPI; JIX; CHL; JKS; JPK; GKR,Stat Profile pHOx/Basic/BiopHOx W/R Pump Tubing Kit,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,1,13294,00385480132947,GS1,CFA,Mg+ INTERNAL FILING SOLUTION,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PLUS/L/C,27810,00385480278102,GS1,JGS,STAT PROFILE pHOx PLUS/L/C/M SODIUM SENSOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX,36461,00385480364614,GS1,JGS; CGL; CDS; JIX; CFA; KHP; JPK; GKR; CHL; CGA; JJS; GHS; JKS; CGZ; JPI; CEM; JFP,"TUBING ASSEMBLY L4, L5, L6 STP CCX",In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57833,00385480578332,GS1,CHL,Stat Profile Prime Plus Calibrator Cartridge 300 Sample with Creat / BUN,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS C,35536,10385480355367,GS1,GKR; JIX; JPI; JEP; CEM; JKS; CGZ; CGA; CHL; JPK; JGS,Stat Profile pHOx Plus C Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS L,34086,00385480340861,GS1,JIX,STAT PROFILE pHOx PLUS L CALIBRATOR CARTRIDGE B,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,CCX,37959,00385480379595,GS1,CGZ; KHP; JGS; CEM; JIX; JPK; GKR; GHS; CGA; CDS; JFP; JPI; CHL; CGL; JKS; JJS; CFA,Stat Profile CCX Reference Sensor,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Nova Primary,Nova Primary Linearity Level 2,63166,00385480631662,GS1,CGA,Nova Primary Linearity Level 2,In Commercial Distribution,true,2023-02-24,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48834,00385480488341,GS1,JIX,Stat Profile pHOx Ultra/CCX Calibrator Cartride 1,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,STATSTRIP XPRESS GLU,41741,00385480417419,GS1,JJX,StatStrip StatStrip Xpress GLU Control Level 1,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME CCS COMP,53420,00385480534208,GS1,CGA; CHL; JJS; CEM; GKF; KHP; JFP; JIX; CGZ; JGS,Remanufactured PRIME CCS Comp Analyzer,In Commercial Distribution,false,2017-07-06,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57828,00385480578288,GS1,CHL,Stat Profile Prime Plus Calibrator Cartridge 400 Sample,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX,56198,00385480561983,GS1,JJY,Linearity Standard Set G Multipack,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,14,14609,00385480146098,GS1,JIX,"NOVA 14 Na+, K+, Cl-, Glu, BUN, Hct",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Plus,62228,00385480622288,GS1,CHL,Prime Calibrator Cartridge ES Plus 400 Sample,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
NOVA,F,41274,00385480412742,GS1,JJY,LINEARITY STANDARD SET F,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STATSENSOR,1.0,52800,20385480528003,GS1,CGL,StatSensor Creat Test Strips,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48836,00385480488365,GS1,JIX,Stat Profile pHOx Ultra/CCX Calibrator Cartride 1 With Creatinine,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX,38281,00385480382816,GS1,JJY,"STAT PROFILE CRITICAL CARE XPRESS CONTROL 7,8,9",In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS C,38025,10385480380253,GS1,JPK; JPI; JKS; CGZ; JIX; CGA; JGS; CEM; JEP; CHL; GKR,Remanufactured Stat Profile pHOx Plus C Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,PRIME,52427,00385480524278,GS1,JIX,Prime Calibrator Cartridge CCS Comp 300 Sample,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,ULTRA/CCX,48599,10385480485996,GS1,CHL,Stat Profile Ultra/CCX PO2 Mebrane Cap Kit,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
StatSensor/StatStrip,1.75,53439,10385480534397,GS1,CGL; KHP; CGA,StatStrip StatSensor Wireless Carrying Case for Meter and Supplies,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,5,14156,10385480141564,GS1,CGZ; CEM; JPI; JGS,NOVA 5/5+ Analyzer w/  Printer( No Acc Pack),In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX,36459,00385480364591,GS1,CGA; CEM; CFA; JGS; CHL; JKS; JIX; CGL; KHP; CGZ; GKR; CDS; JPK; JFP; JPI; JJS; GHS,"TUBING ASSEMBLIES L1, L2, L3 STP CCX",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA MAX,GLU,43437,20385480434373,GS1,NBW; CGA,Nova Max Glucose Test Strips,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
StatSensor/StatStrip,1.75,54419,10385480544198,GS1,KHP; CGL; CGA,StatStrip StatSensor Remanufactured Wireless Carrying Case for Meter and Supplies,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA MAX,Plus,49640,00385480496407,GS1,JJY,Nova Max Plus Glu/Ket Control Solution - Mid,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57835,00385480578356,GS1,CHL,Stat Profile Prime Plus Calibrator Cartridge 500 Sample with Creat / BUN,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME ABG,53655,00385480536554,GS1,CHL; JJX; JJS,Prime ABG w/ Scanner Analyzer,In Commercial Distribution,false,2017-07-06,NOVA BIOMEDICAL CORPORATION
Nova,A,14071,00385480140713,GS1,JJY,LINEARITY STANDARD SET A,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
Nova,16,53985,10385480539859,GS1,JIX; CGA; CEM; JPK; JPI; JFL; CDS; CGL; CGZ,Nova 16/16+ Analyzer w/ Ptr / Dilutor,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,PRIME,52865,00385480528658,GS1,CGZ; KHP; CHL; JIX; JJS; CEM; JGS; CGA; GKF; JFP,Stat Profile Prime Calibrator Flush Fixture,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,phox Ultra/CCX,48580,00385480485807,GS1,CHL,Stat Profile Ultra/CCX pH Sensor,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME CCS COMP,53667,00385480536677,GS1,CEM; JJS; GKF; CGA; JIX; CHL; KHP; JGS; CGZ; JFP,Remanufactured Prime CCS Comp w/ Scanner Analyzer,In Commercial Distribution,false,2017-07-06,NOVA BIOMEDICAL CORPORATION
Nova,Nova,48590,00385489485907,GS1,LXG,Syringe Clot Catcher,In Commercial Distribution,true,2022-12-07,NOVA BIOMEDICAL CORPORATION
StatSensor/StatStrip,1.0,51756,10385480517567,GS1,CGA; KHP; CGL,StatSensor StatStrip Docking Station Remanufactured,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PLUS/L/C,27813,00385480278133,GS1,JFP,STAT PROFILE pHOx PLUS/L/C CALCIUM SENSOR,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
StatSensor/StatStrip,1.0,48629,10385480486290,GS1,CGA; CGL; KHP,StatSensor StatStrip Docking Station for Wireless Carrying Case,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48906,00385480489065,GS1,JJY,Stat Profile pHOx Ultra/CCX Chemistry Controls Auto-Cartridge 4/Day,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
